;t;Brauendistanz(Pixel);AU27;Mund_Nasen_Falte(Pixel/Fenstergroesse);Tonlage;Emotion
0;0;54;0;26;142.0;et
1;0,1;54;0;25;141.0;et
2;0,2;55;0;27;145.0;et
3;0,3;56;0;27;147.0;et
4;0,4;53;1;27;145.0;u
5;0,5;56;0;30;152.0;et
6;0,6;53;0;28;149.0;et
7;0,7;53;0;30;150.0;et
8;0,8;55;0;29;150.0;et
9;0,9;56;0;31;146.0;et
10;1;54;0;30;144.0;et
11;1,1;55;0;31;147.0;et
12;1,2;55;0;31;151.0;et
13;1,3;54;0;30;149.0;et
14;1,4;54;0;29;154.0;et
15;1,5;55;0;28;158.0;f
16;1,6;53;0;29;154.0;f
17;1,7;54;0;28;155.0;f
18;1,8;57;0;28;155.0;f
19;1,9;55;1;27;152.0;u
20;2;55;0;28;157.0;f
21;2,1;56;0;29;153.0;et
22;2,2;52;0;30;154.0;et
23;2,3;55;0;31;156.0;et
24;2,4;53;0;31;150.0;et
25;2,5;54;0;29;152.0;et
26;2,6;56;0;30;154.0;et
27;2,7;56;0;30;151.0;et
28;2,8;54;0;30;156.0;et
29;2,9;49;0;29;147.0;et
30;3;56;0;32;;et
31;3,1;54;0;32;;et
32;3,2;55;0;30;;et
33;3,3;55;0;27;;et
34;3,4;55;0;29;;et
35;3,5;55;0;32;;et
36;3,6;53;0;33;;et
37;3,7;57;0;32;;et
38;3,8;55;0;32;;et
39;3,9;56;0;32;;et
40;4;52;0;30;;et
41;4,1;57;0;28;;et
42;4,2;57;0;26;;et
43;4,3;57;0;26;;et
44;4,4;55;0;28;;et
45;4,5;54;0;31;;et
46;4,6;52;0;34;;et
47;4,7;55;0;34;;et
48;4,8;54;0;32;;et
49;4,9;57;0;28;;et
50;5;52;0;26;;et
51;5,1;53;0;28;175.0;f
52;5,2;54;1;35;184.0;u
53;5,3;52;1;41;192.0;u
54;5,4;54;1;47;199.0;u
55;5,5;52;1;47;202.0;u
56;5,6;53;1;49;205.0;u
57;5,7;52;0;47;201.0;f
58;5,8;53;0;47;204.0;f
59;5,9;53;0;47;204.0;f
60;6;53;1;47;207.0;u
61;6,1;52;1;47;210.0;u
62;6,2;52;1;46;207.0;u
63;6,3;53;1;48;207.0;u
64;6,4;50;0;45;206.0;f
65;6,5;54;0;42;207.0;f
66;6,6;52;0;39;207.0;f
67;6,7;52;0;38;208.0;f
68;6,8;52;0;40;212.0;f
69;6,9;53;0;41;209.0;f
70;7;53;0;46;210.0;f
71;7,1;53;0;46;210.0;f
72;7,2;53;1;46;216.0;u
